Id	tvdbId	imdbId	seriesId	nameEn	nameRu	status	firstAired	network	seazons	lastEpisode	rating	lastShow	airedEpisodeNumber	episodeName
95	331600	tt6548228	331600	Castle Rock	Касл-Рок	Continuing	7/25/2018	Hulu	2	12	0	TBD	TBD	TBD
96	320286	tt3839822	999999	The Son	Сын	Continuing	4/8/2017	AMC	1	10	8.7	TBD	TBD	TBD
97	302627	tt4206804	999999	The Frankenstein Chronicles	Хроники Франкенштейна	Continuing	11/11/2015	ITV Encore	2	12	7.7	TBD	TBD	TBD
98	323168	tt1837492	203261	13 Reasons Why	13 причин почему	Continuing	3/31/2017	Netflix	2	28	8.3	TBD	TBD	TBD
99	290508	tt1399664	198394	The Night Manager	Ночной администратор	Continuing	8/22/2016	BBC One	1	6	8.5	TBD	TBD	TBD
100	320724	tt5114356	17820	Legion	Легион	Continuing	2/8/2017	FX (US)	3	21	8.5	TBD	TBD	TBD
101	70533	tt0098936	1030	Twin Peaks	Твин Пикс	Ended	4/8/1990	Showtime	3	53	8.9	TBD	TBD	TBD
102	294781	tt4484722	196002	The Making of The Mob	Рождение мафии	Continuing	6/15/2015	AMC	2	16	6.5	TBD	TBD	TBD
103	328487	tt5691552	203688	The Orville	Орвилл	Continuing	9/10/2017	FOX (US)	2	14	8.4	TBD	TBD	TBD
104	74202	tt0243732	26	Titans	Титаны	Ended	10/1/2000	NBC	1	13	0	TBD	TBD	TBD
105	78650	tt0098798	970	The Flash	Флэш	Ended	9/20/1990	CBS	1	22	7.2	TBD	TBD	TBD
106	322672	tt5992164	203208	Snatch	Большой куш	Continuing	3/16/2017	Sony Crackle	2	20	9.4	TBD	TBD	TBD
107	330997	tt4975856	999999	Future Man	Человек будущего	Continuing	11/14/2017	Hulu	2	18	8.1	TBD	TBD	TBD
108	349271	tt8421350	999999	Manifest	Манифест	Continuing		NBC	1	10	0	TBD	TBD	TBD
109	77398	tt0106179	61	The X-Files	Секретные материалы	Ended	9/10/1993	FOX (US)	11	225	8.9	TBD	TBD	TBD
110	306304	tt4834206	202642	A Series of Unfortunate Events	Лемони Сникет: 33 несчастья	Continuing	1/13/2017	Netflix	3	25	8.9	TBD	TBD	TBD
111	264954	tt2390334	999999	Chosen	Избранный	Ended	1/17/2013	Crackle	3	18	8.1	TBD	TBD	TBD
112	328599	tt4276624	999999	Krypton	Криптон	Continuing	3/21/2018	Syfy	2	22	9.4	TBD	TBD	TBD
113	334075	tt6271042	999999	McMafia	МакМафия	Continuing	1/1/2018	BBC One	2	11	4.8	TBD	TBD	TBD
114	321060	tt4635282	999999	The OA	ОА	Continuing	12/16/2016	Netflix	2	12	8.2	TBD	TBD	TBD
115	300899	tt4923036	999999	Siren	Сирена	Ended	10/20/2015	Fuji TV	1	9	9	TBD	TBD	TBD
116	300185	tt5185980	999999	Patriot	Патриот	Ended	8/30/2015	TVRI	1	7	7.7	TBD	TBD	TBD
